id,submitdate,lastpage,startlanguage,seed,DT01_SQ001_,DT01_SQ011_,DT01_SQ002_,DT01_SQ005_,DT01_SQ004_,DT01_SQ003_,DT01_SQ006_,DT01_SQ007_,DT01_SQ008_,DT01_SQ009_,DT01_SQ010_,DT01_other_,DT06_SQ001_,DT06_SQ002_,DT06_SQ003_,DT06_SQ004_,DT06_other_,DT02_SQ001_,DT02_SQ002_,DT02_SQ003_,DT02_SQ006_,DT02_SQ005_,DT02_other_,DT03,DT03_other_,DT04a,DT04b,DT05a,DT05b,DQ01,DQ02,DQ03_SQ001_,DQ03_SQ002_,DQ04,DHRP01,DHRP02_SQ001_,DHRP02_SQ002_,DHRP02_SQ003_,DHRP02_SQ004_,DHRP07_SQ001_,DHRP07_SQ001comment_,DHRP07_SQ002_,DHRP07_SQ002comment_,DHRP07_SQ003_,DHRP07_SQ003comment_,DHRP07_SQ004_,DHRP07_SQ004comment_,DHRP07_SQ005_,DHRP07_SQ005comment_,DHRP07_SQ006_,DHRP07_SQ006comment_,DHRP07_other_,DHRP07_othercomment_,DHRP06_SQ001_,DHRP06_SQ002_,DHRP06_SQ003_,DHRP06_SQ004_,DHRP05_SQ001_,DHRP05_SQ002_,DHRP05_SQ003_,DHRP05_SQ004_,DHRP03a_SQ001_,DHRP03a_SQ002_,DHRP03a_SQ003_,DHRP03b_SQ001_,DHRP03b_SQ002_,DHRP03b_SQ003_,DHRP03c_SQ001_,DHRP03c_SQ002_,DHRP03c_SQ003_,DHRP04_SQ001_,DHRP04_SQ002_,DHRP04_SQ003_,DHRP04_SQ004_,ORDM01,ORDM02_SQ001_,ORDM02_SQ002_,ORDM02_SQ003_,ORDM02_SQ016_,ORDM02_SQ004_,ORDM02_SQ005_,ORDM02_SQ006_,ORDM02_SQ007_,ORDM02_SQ008_,ORDM02_SQ009_,ORDM02_SQ010_,ORDM02_SQ011_,ORDM02_SQ012_,ORDM02_SQ013_,ORDM02_SQ014_,ORDM02_SQ015_,ORDM03,D03,D03_other_,D06,D02_SQ001_,D02_SQ002_,D02_SQ008_,D02_SQ003_,D02_SQ004_,D02_SQ005_,D02_SQ006_,D02_SQ007_,D02_other_
32,1980-01-01T00:00:00Z,5,de,468793672,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,NA,No,No,Yes,No,NA,No,No,Yes,Yes,No,NA,Proprietary and open source formats,NA,Yes,"Daten, die einer Geheimhaltungsvereinbarung unterliegen.",No,NA,1 GB - 9 GB,0 - 99 GB,10 GB - 99 GB,10 GB - 99 GB,5-9 people,1-5,Rarely,Rarely,"Never, or almost never","Never, or almost never",No,NA,Yes,Vertraglich geregelt,Yes,Passwort-Schutz der TUG Cloud bzw. verschlüsselte RAR-Archive,No,NA,No,NA,No,NA,NA,NA,Tend to disagree,Tend to disagree,Tend to disagree,Completely agree,"Always, or almost always","Never, or almost never",Rarely,"Never, or almost never",NA,NA,NA,Rarely,Rarely,Sometimes,Sometimes,Most of the time,Rarely,"Always, or almost always",Rarely,"Always, or almost always","Never, or almost never",To a large extent,To little or no extent at all,To a very large extent,To little or no extent at all,To little or no extent at all,To a large extent,To little or no extent at all,To some extent,To some extent,To little or no extent at all,To a large extent,To a large extent,To some extent,To a very large extent,To some extent,To some extent,To some extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Mechanical Engineering and Economic Sciences,No,No,No,No,No,No,Yes,No,NA
37,1980-01-01T00:00:00Z,5,de,952142649,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,No,Yes,Yes,No,Yes,NA,Predominantly proprietary formats,NA,Yes,"Energieverbrauchsdaten, Beschreibung von Energiesystemen (Komponentenaufbau, Wirkungsgrade, Funktionsweisen, etc.)",No,NA,1 GB - 9 GB,0 - 99 GB,10 GB - 99 GB,< 10 GB,5-9 people,>20,Rarely,Rarely,Rarely,"Never, or almost never",Yes,Zusammenfassende Publikationen sind naturgemäß öffentlich,Yes,gemeint sind detaillierte Datensätze,No,NA,No,NA,Yes,sofern Geheimhaltung vereinbart wurde oder ein großes Eigeninteresse besteht (eher selten),No,NA,NA,NA,Tend to agree,Tend to disagree,Don't know/Cannot answer,Completely agree,"Never, or almost never","Never, or almost never",Rarely,"Never, or almost never",NA,NA,NA,Rarely,Most of the time,Rarely,"Always, or almost always","Never, or almost never","Never, or almost never","Always, or almost always","Always, or almost always",Most of the time,"Never, or almost never",To some extent,To a large extent,To a large extent,Do not know/cannot answer,To some extent,To some extent,To little or no extent at all,To some extent,To a large extent,To little or no extent at all,To a very large extent,To a very large extent,To some extent,To a very large extent,To little or no extent at all,To a large extent,To a large extent,NA,Doctorate/PhD,NA,Mechanical Engineering and Economic Sciences,No,No,No,No,Yes,No,No,No,NA
38,1980-01-01T00:00:00Z,5,de,1831968851,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,NA,Yes,Yes,No,No,NA,Yes,No,Yes,No,No,NA,Do not know/Cannot answer,NA,Yes,personenbezogenen,No,NA,Up to 99 MB,100 GB - 499 GB,100 GB - 999 GB,100 GB - 999 GB,5-9 people,11-20,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,Yes,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to disagree,Tend to agree,Don't know/Cannot answer,Rarely,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never",Sometimes,Most of the time,Sometimes,Sometimes,"Never, or almost never",Most of the time,Rarely,"Always, or almost always",Do not know/cannot answer,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To a very large extent,To a very large extent,Do not know/cannot answer,To a large extent,To little or no extent at all,Do not know/cannot answer,To a large extent,To a large extent,Do not know/cannot answer,NA,Doctorate/PhD,NA,Computer Science and Biomedical Engineering,No,No,No,No,Yes,No,No,No,NA
40,1980-01-01T00:00:00Z,5,de,802325799,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,NA,Yes,No,No,No,NA,No,Yes,Yes,No,Yes,NA,Proprietary and open source formats,NA,Yes,Messdaten Prototypen,No,NA,1 GB - 9 GB,500 GB - 900 GB,100 GB - 999 GB,1 TB - 10 TB,Fewer than 5 people,NA,NA,NA,NA,NA,No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely disagree,Completely disagree,Completely agree,Completely agree,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never",To a large extent,To little or no extent at all,To a very large extent,To some extent,To some extent,To some extent,To a large extent,To a very large extent,To a very large extent,To a very large extent,To some extent,To a very large extent,To a large extent,To a very large extent,To a very large extent,To a very large extent,To a very large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Mechanical Engineering and Economic Sciences,No,No,No,No,No,No,Yes,No,NA
43,1980-01-01T00:00:00Z,5,de,1361654480,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Messergebnisse in Form von Diagrammen,No,No,No,No,"Messdaten, Simulationsdaten",No,Yes,Yes,No,Yes,NA,Predominantly proprietary formats,NA,Yes,teilweise handelt es sich um sensible Messdaten,No,NA,1 GB - 9 GB,100 GB - 499 GB,1 TB - 10 TB,100 GB - 999 GB,5-9 people,1-5,Sometimes,Most of the time,Do not know/cannot answer,Do not know/cannot answer,No,NA,No,NA,No,NA,No,NA,No,NA,Yes,machen in dem Fall andere Projektpartner,NA,NA,Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,NA,NA,Most of the time,"Never, or almost never",Rarely,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Most of the time,Most of the time,Rarely,Most of the time,To a large extent,To a large extent,To a large extent,To little or no extent at all,To a large extent,To some extent,To some extent,To little or no extent at all,To a large extent,To some extent,To some extent,To some extent,To little or no extent at all,To some extent,To a large extent,To a large extent,To some extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Electrical and Information Engineering,No,No,No,No,No,No,Yes,No,NA
44,1980-01-01T00:00:00Z,5,de,1983891359,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,NA,Yes,Yes,No,No,NA,Yes,Yes,No,Yes,No,NA,Proprietary and open source formats,NA,No,NA,No,NA,1 GB - 9 GB,100 GB - 499 GB,100 GB - 999 GB,< 10 GB,Fewer than 5 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",Yes,Die meisten Publikation verlangen mittlerweile Reproducability,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Completely agree,Tend to disagree,Completely agree,Most of the time,Sometimes,Sometimes,"Never, or almost never",Bitbucket,GitLab,GitHub,Sometimes,"Never, or almost never",Sometimes,"Always, or almost always",Sometimes,Sometimes,"Always, or almost always","Always, or almost always","Never, or almost never","Never, or almost never",To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Computer Science and Biomedical Engineering,No,No,No,No,No,No,Yes,No,NA
45,1980-01-01T00:00:00Z,5,de,465276302,No,No,No,No,Yes,No,No,No,Yes,No,Yes,NA,Yes,Yes,Yes,No,NA,No,Yes,No,No,Yes,NA,Proprietary formats exclusively,NA,Yes,Daten aus Industrieprojekten/kooperationen,Yes,"Industrielle Nebenströme, Prozesswasser",100 MB - 999 MB,0 - 99 GB,< 10 GB,10 GB - 99 GB,5-9 people,1-5,"Always, or almost always",Sometimes,Sometimes,"Never, or almost never",No,NA,Yes,Nur an beteiligte Firmen,No,NA,No,NA,No,NA,No,NA,NA,NA,Don't know/Cannot answer,Tend to agree,Don't know/Cannot answer,Completely agree,"Always, or almost always","Never, or almost never",Most of the time,Do not know/cannot answer,NA,NA,NA,"Always, or almost always",Most of the time,Rarely,"Always, or almost always","Always, or almost always","Never, or almost never","Always, or almost always","Always, or almost always","Always, or almost always","Never, or almost never",To some extent,To a large extent,To a large extent,To little or no extent at all,To some extent,To a very large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To some extent,To some extent,To some extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,No,No,No,No,No,Yes,No,NA
49,1980-01-01T00:00:00Z,5,de,691990681,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,NA,Yes,No,Yes,No,NA,Yes,No,No,Yes,No,NA,Proprietary and open source formats,NA,Yes,Interviewergebnisse,No,NA,Up to 99 MB,0 - 99 GB,< 10 GB,10 GB - 99 GB,5-9 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Don't know/Cannot answer,Don't know/Cannot answer,Completely agree,Most of the time,Sometimes,"Never, or almost never","Never, or almost never",Sharepoint der TU-Graz,Nextcloud,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Always, or almost always","Always, or almost always",Sometimes,Rarely,To a large extent,To little or no extent at all,To little or no extent at all,Do not know/cannot answer,To some extent,To little or no extent at all,To some extent,To some extent,To a large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To a large extent,To little or no extent at all,"Das ZID schafft es nicht, zeitnah externe Projektpartner mit den erfroderlichen Rechten am  Sharepoint anzulegen.","Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Civil Engineering Sciences,No,No,No,No,No,Yes,No,No,NA
50,1980-01-01T00:00:00Z,5,de,1251685991,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,No,Yes,No,No,NA,No,Yes,No,No,Yes,NA,Proprietary and open source formats,NA,No,NA,Yes,Chemikalien,100 MB - 999 MB,0 - 99 GB,10 GB - 99 GB,10 GB - 99 GB,Fewer than 5 people,>20,"Never, or almost never","Never, or almost never",Do not know/cannot answer,Do not know/cannot answer,Yes,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Completely agree,NA,Completely agree,"Never, or almost never","Never, or almost never",Most of the time,Most of the time,NA,NA,NA,Do not know/cannot answer,Do not know/cannot answer,"Always, or almost always","Always, or almost always","Never, or almost never","Never, or almost never",Most of the time,"Always, or almost always","Never, or almost never","Never, or almost never",To some extent,To little or no extent at all,To little or no extent at all,Do not know/cannot answer,To little or no extent at all,To a large extent,To some extent,To some extent,To some extent,To some extent,Do not know/cannot answer,To little or no extent at all,Do not know/cannot answer,To some extent,To some extent,To some extent,To some extent,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,No,Yes,No,No,No,No,No,NA
51,1980-01-01T00:00:00Z,5,de,1714609130,No,No,No,Yes,No,No,No,No,No,No,No,NA,Yes,No,No,No,NA,No,No,No,No,Yes,NA,Predominantly proprietary formats,NA,Yes,NA,No,NA,Up to 99 MB,500 GB - 900 GB,10 GB - 99 GB,< 10 GB,Fewer than 5 people,1-5,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,To some extent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Mechanical Engineering and Economic Sciences,No,No,No,No,No,No,Yes,No,NA
