"id","submitdate","lastpage","startlanguage","seed","DT01[SQ001]","DT01[SQ011]","DT01[SQ002]","DT01[SQ005]","DT01[SQ004]","DT01[SQ003]","DT01[SQ006]","DT01[SQ007]","DT01[SQ008]","DT01[SQ009]","DT01[SQ010]","DT01[other]","DT06[SQ001]","DT06[SQ002]","DT06[SQ003]","DT06[SQ004]","DT06[other]","DT02[SQ001]","DT02[SQ002]","DT02[SQ003]","DT02[SQ006]","DT02[SQ005]","DT02[other]","DT03","DT03[other]","DT04a","DT04b","DT05a","DT05b","DQ01","DQ02","DQ03[SQ001]","DQ03[SQ002]","DQ04","DHRP01","DHRP02[SQ001]","DHRP02[SQ002]","DHRP02[SQ003]","DHRP02[SQ004]","DHRP07[SQ001]","DHRP07[SQ001comment]","DHRP07[SQ002]","DHRP07[SQ002comment]","DHRP07[SQ003]","DHRP07[SQ003comment]","DHRP07[SQ004]","DHRP07[SQ004comment]","DHRP07[SQ005]","DHRP07[SQ005comment]","DHRP07[SQ006]","DHRP07[SQ006comment]","DHRP07[other]","DHRP07[othercomment]","DHRP06[SQ001]","DHRP06[SQ002]","DHRP06[SQ003]","DHRP06[SQ004]","DHRP05[SQ001]","DHRP05[SQ002]","DHRP05[SQ003]","DHRP05[SQ004]","DHRP03a[SQ001]","DHRP03a[SQ002]","DHRP03a[SQ003]","DHRP03b[SQ001]","DHRP03b[SQ002]","DHRP03b[SQ003]","DHRP03c[SQ001]","DHRP03c[SQ002]","DHRP03c[SQ003]","DHRP04[SQ001]","DHRP04[SQ002]","DHRP04[SQ003]","DHRP04[SQ004]","ORDM01","ORDM02[SQ001]","ORDM02[SQ002]","ORDM02[SQ003]","ORDM02[SQ016]","ORDM02[SQ004]","ORDM02[SQ005]","ORDM02[SQ006]","ORDM02[SQ007]","ORDM02[SQ008]","ORDM02[SQ009]","ORDM02[SQ010]","ORDM02[SQ011]","ORDM02[SQ012]","ORDM02[SQ013]","ORDM02[SQ014]","ORDM02[SQ015]","ORDM03","D03","D03[other]","D06","D02[SQ001]","D02[SQ002]","D02[SQ008]","D02[SQ003]","D02[SQ004]","D02[SQ005]","D02[SQ006]","D02[SQ007]","D02[other]"
"32","1980-01-01 00:00:00","5","de","468793672","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","","No","No","Yes","No","","No","No","Yes","Yes","No","","Proprietary and open source formats","","Yes","Daten, die einer Geheimhaltungsvereinbarung unterliegen.","No","","1 GB - 9 GB","0 - 99 GB","10 GB - 99 GB","10 GB - 99 GB","5-9 people","1-5","Rarely","Rarely","Never, or almost never","Never, or almost never","No","","Yes","Vertraglich geregelt","Yes","Passwort-Schutz der TUG Cloud bzw. verschlüsselte RAR-Archive","No","","No","","No","","","","Tend to disagree","Tend to disagree","Tend to disagree","Completely agree","Always, or almost always","Never, or almost never","Rarely","Never, or almost never","","","","Rarely","Rarely","Sometimes","Sometimes","Most of the time","Rarely","Always, or almost always","Rarely","Always, or almost always","Never, or almost never","To a large extent","To little or no extent at all","To a very large extent","To little or no extent at all","To little or no extent at all","To a large extent","To little or no extent at all","To some extent","To some extent","To little or no extent at all","To a large extent","To a large extent","To some extent","To a very large extent","To some extent","To some extent","To some extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mechanical Engineering and Economic Sciences","No","No","No","No","No","No","Yes","No",""
"37","1980-01-01 00:00:00","5","de","952142649","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","","No","Yes","Yes","No","Yes","","Predominantly proprietary formats","","Yes","Energieverbrauchsdaten, Beschreibung von Energiesystemen (Komponentenaufbau, Wirkungsgrade, Funktionsweisen, etc.)","No","","1 GB - 9 GB","0 - 99 GB","10 GB - 99 GB","< 10 GB","5-9 people",">20","Rarely","Rarely","Rarely","Never, or almost never","Yes","Zusammenfassende Publikationen sind naturgemäß öffentlich","Yes","gemeint sind detaillierte Datensätze","No","","No","","Yes","sofern Geheimhaltung vereinbart wurde oder ein großes Eigeninteresse besteht (eher selten)","No","","","","Tend to agree","Tend to disagree","Don't know/Cannot answer","Completely agree","Never, or almost never","Never, or almost never","Rarely","Never, or almost never","","","","Rarely","Most of the time","Rarely","Always, or almost always","Never, or almost never","Never, or almost never","Always, or almost always","Always, or almost always","Most of the time","Never, or almost never","To some extent","To a large extent","To a large extent","Do not know/cannot answer","To some extent","To some extent","To little or no extent at all","To some extent","To a large extent","To little or no extent at all","To a very large extent","To a very large extent","To some extent","To a very large extent","To little or no extent at all","To a large extent","To a large extent","","Doctorate/PhD","","Mechanical Engineering and Economic Sciences","No","No","No","No","Yes","No","No","No",""
"38","1980-01-01 00:00:00","5","de","1831968851","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","","Yes","Yes","No","No","","Yes","No","Yes","No","No","","Do not know/Cannot answer","","Yes","personenbezogenen","No","","Up to 99 MB","100 GB - 499 GB","100 GB - 999 GB","100 GB - 999 GB","5-9 people","11-20","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","No","","Yes","","No","","No","","","","Tend to agree","Tend to disagree","Tend to agree","Don't know/Cannot answer","Rarely","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Sometimes","Most of the time","Sometimes","Sometimes","Never, or almost never","Most of the time","Rarely","Always, or almost always","Do not know/cannot answer","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To a very large extent","To a very large extent","Do not know/cannot answer","To a large extent","To little or no extent at all","Do not know/cannot answer","To a large extent","To a large extent","Do not know/cannot answer","","Doctorate/PhD","","Computer Science and Biomedical Engineering","No","No","No","No","Yes","No","No","No",""
"40","1980-01-01 00:00:00","5","de","802325799","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","","Yes","No","No","No","","No","Yes","Yes","No","Yes","","Proprietary and open source formats","","Yes","Messdaten Prototypen","No","","1 GB - 9 GB","500 GB - 900 GB","100 GB - 999 GB","1 TB - 10 TB","Fewer than 5 people","","","","","","No","","Yes","","No","","No","","No","","No","","","","Completely disagree","Completely disagree","Completely agree","Completely agree","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never","To a large extent","To little or no extent at all","To a very large extent","To some extent","To some extent","To some extent","To a large extent","To a very large extent","To a very large extent","To a very large extent","To some extent","To a very large extent","To a large extent","To a very large extent","To a very large extent","To a very large extent","To a very large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mechanical Engineering and Economic Sciences","No","No","No","No","No","No","Yes","No",""
"43","1980-01-01 00:00:00","5","de","1361654480","No","No","Yes","No","No","Yes","No","No","Yes","No","Yes","Messergebnisse in Form von Diagrammen","No","No","No","No","Messdaten, Simulationsdaten","No","Yes","Yes","No","Yes","","Predominantly proprietary formats","","Yes","teilweise handelt es sich um sensible Messdaten","No","","1 GB - 9 GB","100 GB - 499 GB","1 TB - 10 TB","100 GB - 999 GB","5-9 people","1-5","Sometimes","Most of the time","Do not know/cannot answer","Do not know/cannot answer","No","","No","","No","","No","","No","","Yes","machen in dem Fall andere Projektpartner","","","Tend to agree","Tend to agree","Tend to disagree","Tend to agree","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","","","Most of the time","Never, or almost never","Rarely","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Most of the time","Most of the time","Rarely","Most of the time","To a large extent","To a large extent","To a large extent","To little or no extent at all","To a large extent","To some extent","To some extent","To little or no extent at all","To a large extent","To some extent","To some extent","To some extent","To little or no extent at all","To some extent","To a large extent","To a large extent","To some extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","No","No","No","Yes","No",""
"44","1980-01-01 00:00:00","5","de","1983891359","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","","Yes","Yes","No","No","","Yes","Yes","No","Yes","No","","Proprietary and open source formats","","No","","No","","1 GB - 9 GB","100 GB - 499 GB","100 GB - 999 GB","< 10 GB","Fewer than 5 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","Yes","Die meisten Publikation verlangen mittlerweile Reproducability","No","","No","","No","","No","","No","","","","Completely agree","Completely agree","Tend to disagree","Completely agree","Most of the time","Sometimes","Sometimes","Never, or almost never","Bitbucket","GitLab","GitHub","Sometimes","Never, or almost never","Sometimes","Always, or almost always","Sometimes","Sometimes","Always, or almost always","Always, or almost always","Never, or almost never","Never, or almost never","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Computer Science and Biomedical Engineering","No","No","No","No","No","No","Yes","No",""
"45","1980-01-01 00:00:00","5","de","465276302","No","No","No","No","Yes","No","No","No","Yes","No","Yes","","Yes","Yes","Yes","No","","No","Yes","No","No","Yes","","Proprietary formats exclusively","","Yes","Daten aus Industrieprojekten/kooperationen","Yes","Industrielle Nebenströme, Prozesswasser","100 MB - 999 MB","0 - 99 GB","< 10 GB","10 GB - 99 GB","5-9 people","1-5","Always, or almost always","Sometimes","Sometimes","Never, or almost never","No","","Yes","Nur an beteiligte Firmen","No","","No","","No","","No","","","","Don't know/Cannot answer","Tend to agree","Don't know/Cannot answer","Completely agree","Always, or almost always","Never, or almost never","Most of the time","Do not know/cannot answer","","","","Always, or almost always","Most of the time","Rarely","Always, or almost always","Always, or almost always","Never, or almost never","Always, or almost always","Always, or almost always","Always, or almost always","Never, or almost never","To some extent","To a large extent","To a large extent","To little or no extent at all","To some extent","To a very large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To some extent","To some extent","To some extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","No","No","No","No","Yes","No",""
"49","1980-01-01 00:00:00","5","de","691990681","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","","Yes","No","Yes","No","","Yes","No","No","Yes","No","","Proprietary and open source formats","","Yes","Interviewergebnisse","No","","Up to 99 MB","0 - 99 GB","< 10 GB","10 GB - 99 GB","5-9 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","No","","No","","No","","No","","","","Completely agree","Don't know/Cannot answer","Don't know/Cannot answer","Completely agree","Most of the time","Sometimes","Never, or almost never","Never, or almost never","Sharepoint der TU-Graz","Nextcloud","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Always, or almost always","Sometimes","Rarely","To a large extent","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","To some extent","To little or no extent at all","To some extent","To some extent","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To a large extent","To little or no extent at all","Das ZID schafft es nicht, zeitnah externe Projektpartner mit den erfroderlichen Rechten am  Sharepoint anzulegen.","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Civil Engineering Sciences","No","No","No","No","No","Yes","No","No",""
"50","1980-01-01 00:00:00","5","de","1251685991","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","","No","Yes","No","No","","No","Yes","No","No","Yes","","Proprietary and open source formats","","No","","Yes","Chemikalien","100 MB - 999 MB","0 - 99 GB","10 GB - 99 GB","10 GB - 99 GB","Fewer than 5 people",">20","Never, or almost never","Never, or almost never","Do not know/cannot answer","Do not know/cannot answer","Yes","","Yes","","No","","No","","No","","No","","","","Completely agree","Completely agree","","Completely agree","Never, or almost never","Never, or almost never","Most of the time","Most of the time","","","","Do not know/cannot answer","Do not know/cannot answer","Always, or almost always","Always, or almost always","Never, or almost never","Never, or almost never","Most of the time","Always, or almost always","Never, or almost never","Never, or almost never","To some extent","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","To little or no extent at all","To a large extent","To some extent","To some extent","To some extent","To some extent","Do not know/cannot answer","To little or no extent at all","Do not know/cannot answer","To some extent","To some extent","To some extent","To some extent","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","Yes","No","No","No","No","No",""
"51","1980-01-01 00:00:00","5","de","1714609130","No","No","No","Yes","No","No","No","No","No","No","No","","Yes","No","No","No","","No","No","No","No","Yes","","Predominantly proprietary formats","","Yes","","No","","Up to 99 MB","500 GB - 900 GB","10 GB - 99 GB","< 10 GB","Fewer than 5 people","1-5","","","","","No","","No","","No","","No","","No","","No","","","","","","","","","","","","","","","","","","","","","","","","","To some extent","","","","","","","","","","","","","","","","","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mechanical Engineering and Economic Sciences","No","No","No","No","No","No","Yes","No",""
